
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
124668802  174.860    0.000  272.100    0.000 circuit2.py:58(intersects)
374076346   97.261    0.000   97.261    0.000 circuit2.py:50(is_horizontal)
    20000   95.444    0.005  207.445    0.010 circuit2.py:175(<listcomp>)
        1   90.258   90.258  600.236  600.236 circuit2.py:425(_compute_crossings)
199999610   66.586    0.000   66.586    0.000 circuit2.py:272(__le__)
174318360   45.416    0.000   45.416    0.000 circuit2.py:284(__ge__)
124734034   12.023    0.000   12.023    0.000 {method 'append' of 'list' objects}
 43607615   10.273    0.000   10.273    0.000 circuit2.py:290(__eq__)
    14970    7.944    0.001   18.216    0.001 {method 'remove' of 'list' objects}
        1    0.090    0.090    0.385    0.385 circuit2.py:134(from_file)
    34970    0.078    0.000    0.078    0.000 circuit2.py:148(<listcomp>)
    34970    0.070    0.000    0.113    0.000 circuit2.py:23(__init__)
    20000    0.065    0.000  207.510    0.010 circuit2.py:173(list)
        1    0.056    0.056    0.069    0.069 circuit2.py:377(_events_from_layer)
        3    0.053    0.018    0.053    0.018 {method 'sort' of 'list' objects}
    34970    0.046    0.000    0.158    0.000 circuit2.py:114(add_wire)
    20000    0.038    0.000    0.038    0.000 circuit2.py:312(__init__)
    29940    0.033    0.000    0.033    0.000 circuit2.py:258(__init__)
    34972    0.032    0.000    0.036    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
    34972    0.023    0.000    0.023    0.000 {method 'split' of 'str' objects}
    34970    0.023    0.000    0.023    0.000 circuit2.py:95(next_object_id)
20339/20311    0.020    0.000    0.020    0.000 {built-in method builtins.len}
    20000    0.014    0.000    0.014    0.000 circuit2.py:323(__init__)
    14970    0.011    0.000   18.227    0.001 circuit2.py:169(remove)
    49940    0.010    0.000    0.010    0.000 circuit2.py:466(trace_sweep_line)
    14970    0.008    0.000    0.010    0.000 circuit2.py:163(add)
    20000    0.007    0.000    0.007    0.000 circuit2.py:54(is_vertical)
        8    0.005    0.001    0.005    0.001 <frozen importlib._bootstrap>:157(_get_module_lock)
      177    0.004    0.000    0.004    0.000 {built-in method _codecs.charmap_decode}
       24    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
     15/6    0.000    0.000    0.001    0.000 sre_parse.py:475(_parse)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      177    0.000    0.000    0.004    0.000 cp1252.py:22(decode)
     25/6    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       14    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
      102    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      123    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000  600.236  600.236 circuit2.py:354(count_crossings)
    31/12    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     13/6    0.000    0.000    0.001    0.000 sre_parse.py:417(_parse_sub)
      198    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000  600.755  600.755 circuit2.py:3(<module>)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      6/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:978(_find_and_load)
