 418478991 function calls (418478879 primitive calls) in 217.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20000   96.692    0.005  198.439    0.010 circuit2.py:177(count)
199999610   58.106    0.000   58.106    0.000 circuit2.py:272(__le__)
174318360   43.640    0.000   43.640    0.000 circuit2.py:284(__ge__)
 43607615    9.356    0.000    9.356    0.000 circuit2.py:290(__eq__)
    14970    8.431    0.001   17.788    0.001 {method 'remove' of 'list' objects}
        1    0.276    0.276  216.587  216.587 circuit2.py:425(_compute_crossings)
        1    0.089    0.089    0.364    0.364 circuit2.py:134(from_file)
    34970    0.077    0.000    0.077    0.000 circuit2.py:148(<listcomp>)
    34970    0.067    0.000    0.109    0.000 circuit2.py:23(__init__)
        1    0.056    0.056    0.069    0.069 circuit2.py:377(_events_from_layer)
        3    0.050    0.017    0.050    0.017 {method 'sort' of 'list' objects}
    34970    0.045    0.000    0.154    0.000 circuit2.py:114(add_wire)
    29940    0.026    0.000    0.026    0.000 circuit2.py:258(__init__)
    69940    0.023    0.000    0.023    0.000 circuit2.py:50(is_horizontal)
    34972    0.023    0.000    0.023    0.000 {method 'split' of 'str' objects}
    34970    0.022    0.000    0.022    0.000 circuit2.py:95(next_object_id)
    20000    0.020    0.000    0.020    0.000 circuit2.py:312(__init__)
    34972    0.017    0.000    0.022    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
    14970    0.012    0.000   17.799    0.001 circuit2.py:169(remove)
    20000    0.009    0.000    0.009    0.000 circuit2.py:323(__init__)
    14970    0.008    0.000    0.011    0.000 circuit2.py:163(add)
    49940    0.007    0.000    0.007    0.000 circuit2.py:467(trace_sweep_line)
    65232    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    20000    0.006    0.000    0.006    0.000 circuit2.py:54(is_vertical)
      177    0.004    0.000    0.004    0.000 {built-in method _codecs.charmap_decode}
       24    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     15/6    0.000    0.000    0.001    0.000 sre_parse.py:475(_parse)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      177    0.000    0.000    0.004    0.000 cp1252.py:22(decode)
     25/6    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       14    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
      102    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
    31/12    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      123    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     13/6    0.000    0.000    0.001    0.000 sre_parse.py:417(_parse_sub)
  339/311    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000  217.078  217.078 circuit2.py:3(<module>)
      6/2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:978(_find_and_load)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      198    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.002    0.000 re.py:271(_compile)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.000    0.000 enum.py:134(__new__)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       38    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
       71    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       49    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      177    0.000    0.000    0.000    0.000 codecs.py:281(getstate)
        6    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      6/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:663(_load_unlocked)
       20    0.000    0.000    0.000    0.000 enum.py:537(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       59    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       12    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       14    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        4    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       71    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
